iter	Passed	Remaining
0	6	796
1	24	1458
2	42	1649
3	58	1704
4	76	1759
5	92	1756
6	107	1742
7	123	1733
8	139	1724
9	155	1713
10	164	1632
11	176	1587
12	190	1569
13	205	1554
14	220	1543
15	249	1623
16	268	1624
17	283	1605
18	314	1674
19	347	1735
20	378	1786
21	397	1769
22	432	1825
23	478	1912
24	511	1942
25	545	1971
26	551	1898
27	582	1913
28	592	1860
29	610	1830
30	619	1778
31	636	1751
32	653	1722
33	669	1693
34	685	1664
35	691	1613
36	707	1587
37	725	1566
38	742	1541
39	757	1514
40	772	1488
41	787	1461
42	802	1437
43	817	1412
44	826	1376
45	840	1351
46	855	1328
47	860	1290
48	874	1266
49	889	1245
50	906	1226
51	922	1205
52	937	1184
53	951	1163
54	966	1142
55	975	1114
56	990	1094
57	1002	1071
58	1014	1048
59	1027	1027
60	1042	1008
61	1060	992
62	1069	967
63	1087	951
64	1096	927
65	1112	910
66	1125	890
67	1141	872
68	1156	854
69	1171	837
70	1187	819
71	1203	802
72	1218	784
73	1233	766
74	1248	749
75	1256	727
76	1268	708
77	1283	691
78	1298	673
79	1313	656
80	1325	638
81	1340	621
82	1355	604
83	1364	584
84	1380	568
85	1396	552
86	1412	535
87	1427	519
88	1442	502
89	1457	485
90	1462	466
91	1477	449
92	1492	433
93	1502	415
94	1517	399
95	1533	383
96	1548	367
97	1560	350
98	1575	334
99	1590	318
100	1605	301
101	1620	285
102	1636	270
103	1651	254
104	1667	238
105	1682	222
106	1697	206
107	1712	190
108	1728	174
109	1744	158
110	1760	142
111	1776	126
112	1793	111
113	1811	95
114	1825	79
115	1840	63
116	1856	47
117	1871	31
118	1888	15
119	1904	0
